year,stream,reach,surveyor,date,visible_redds,total_features,correct_redds,omitted_redds,exp_sp_total,mean_width,mean_depth,mean_discharge,mean_thalweg_cv,reach_length_m,naive_density_km,exp_sp_total_log,net_error
2010,ICICLE,I1,I,2010-04-14,48,31,26,22,9.3,33.1,71.5,265,55.14991,4948.1,6.265031022008447,2.33214389523559,0.6458333333333334
2010,ICICLE,I1,N,2010-04-14,48,22,17,31,17.7,33.1,71.5,265,55.14991,4948.1,4.446151047876962,2.928523523860541,0.4583333333333333
2010,ICICLE,I1,B,2010-04-14,48,31,26,22,55,33.1,71.5,265,55.14991,4948.1,6.265031022008447,4.02535169073515,0.6458333333333334
2010,ICICLE,I1,A,2010-04-14,48,41,28,20,46.7,33.1,71.5,265,55.14991,4948.1,8.28600877104343,3.8649313978942956,0.8541666666666666
2010,ICICLE,I1,C,2010-04-15,48,29,24,24,25.9,33.1,71.5,265,55.14991,4948.1,5.860835472201451,3.292126286607793,0.6041666666666666
2010,ICICLE,I1,M,2010-04-15,48,39,36,12,49.5,33.1,71.5,265,55.14991,4948.1,7.881813221236434,3.9219733362813143,0.8125
2010,ICICLE,I1,K,2010-04-15,48,40,26,22,8,33.1,71.5,265,55.14991,4948.1,8.083910996139933,2.1972245773362196,0.8333333333333334
2010,ICICLE,I1,Q,2010-04-15,48,21,17,31,1.5,33.1,71.5,265,55.14991,4948.1,4.244053272973464,0.9162907318741551,0.4375
2010,ICICLE,I1,D,2010-04-15,48,41,27,21,34,33.1,71.5,265,55.14991,4948.1,8.28600877104343,3.5553480614894135,0.8541666666666666
2010,ICICLE,I1,J,2010-04-15,48,16,12,36,5.5,33.1,71.5,265,55.14991,4948.1,3.233564398455973,1.8718021769015913,0.3333333333333333
2011,ICICLE,I1,C,2011-04-14,77,60,55,22,32.6,34,73.3,545,55.14991,4948.1,12.125866494209898,3.5145260669691587,0.7792207792207793
2011,ICICLE,I1,K,2011-04-14,75,63,60,15,14.5,34,73.3,545,55.14991,4948.1,12.732159818920394,2.740840023925201,0.84
2011,ICICLE,I1,D,2011-04-17,96,60,56,40,36.5,34,73.3,525,55.14991,4948.1,12.125866494209898,3.624340932976365,0.625
2011,ICICLE,I1,I,2011-04-17,95,60,51,44,11.7,34,73.3,525,55.14991,4948.1,12.125866494209898,2.5416019934645457,0.631578947368421
2011,ICICLE,I1,N,2011-04-20,110,23,22,88,22.2,34,73.3,452,55.14991,4948.1,4.648248822780461,3.1441522786722644,0.20909090909090908
2011,ICICLE,I1,R,2011-04-20,109,62,50,59,14.6,34,73.3,452,55.14991,4948.1,12.530062044016894,2.747270914255491,0.5688073394495413
2011,ICICLE,I1,B,2011-04-26,95,69,65,30,56.4,34,73.3,386,55.14991,4948.1,13.944746468341384,4.050044303325521,0.7263157894736842
2011,ICICLE,I1,G,2011-04-29,77,29,24,53,27.6,34,73.3,360,55.14991,4948.1,5.860835472201451,3.353406717825807,0.37662337662337664
2011,ICICLE,I1,S,2011-04-29,83,53,39,44,3.1,34,73.3,360,55.14991,4948.1,10.71118206988541,1.410986973710262,0.6385542168674698
2011,ICICLE,I1,A,2011-04-26,93,38,36,57,48.3,34,73.3,386,55.14991,4948.1,7.679715446332936,3.8979240810486444,0.40860215053763443
2012,ICICLE,I1,I,2012-04-18,19,10,9,10,12.4,30.4,78.2,455,38.98822,4948.1,2.020977749034983,2.5952547069568657,0.5263157894736842
2012,ICICLE,I1,M,2012-05-07,22,15,10,12,53.6,30.4,78.2,943,38.98822,4948.1,3.0314666235524745,4.000033882750859,0.6818181818181818
2012,ICICLE,I1,R,2012-05-10,25,10,8,17,15.1,30.4,78.2,1360,38.98822,4948.1,2.020977749034983,2.7788192719904172,0.4
2012,ICICLE,I1,E,2012-05-13,23,3,2,21,19.2,30.4,78.2,1375,38.98822,4948.1,0.6062933247104949,3.005682604407159,0.13043478260869565
2010,"NASON",N3,A,2010-04-28,43,24,23,20,46.7,18.9,62.3,650,48.56728,6538,3.6708473539308657,3.8649313978942956,0.5581395348837209
2010,"NASON",N3,I,2010-04-28,43,21,21,22,9.3,18.9,62.3,650,48.56728,6538,3.2119914346895073,2.33214389523559,0.4883720930232558
2010,"NASON",N3,R,2010-04-28,43,23,22,21,14.5,18.9,62.3,650,48.56728,6538,3.5178953808504128,2.740840023925201,0.5348837209302325
2010,"NASON",N3,G,2010-04-28,43,22,19,24,26.3,18.9,62.3,650,48.56728,6538,3.3649434077699603,3.3068867021909143,0.5116279069767442
2010,"NASON",N3,H,2010-04-28,43,22,17,26,29.4,18.9,62.3,650,48.56728,6538,3.3649434077699603,3.414442608412176,0.5116279069767442
2010,"NASON",N3,D,2010-05-06,64,68,54,10,34,18.9,62.3,351,48.56728,6538,10.400734169470786,3.5553480614894135,1.0625
2010,"NASON",N3,S,2010-05-06,63,58,39,24,1,18.9,62.3,351,48.56728,6538,8.871214438666259,0.6931471805599453,0.9206349206349206
2010,"NASON",N3,F,2010-05-06,63,62,48,15,2,18.9,62.3,351,48.56728,6538,9.483022330988069,1.0986122886681098,0.9841269841269841
2010,"NASON",N3,E,2010-05-06,65,67,54,11,15,18.9,62.3,351,48.56728,6538,10.247782196390332,2.772588722239781,1.0307692307692307
2010,"NASON",N3,C,2010-05-06,64,44,44,20,25.9,18.9,62.3,351,48.56728,6538,6.7298868155399205,3.292126286607793,0.6875
2011,"NASON",N3,B,2011-04-24,38,40,33,5,56.4,17.8,54.1,322,48.56728,6538,6.11807892321811,4.050044303325521,1.0526315789473684
2011,"NASON",N3,N,2011-04-24,37,44,30,7,22.2,17.8,54.1,322,48.56728,6538,6.7298868155399205,3.1441522786722644,1.1891891891891893
2011,"NASON",N3,I,2011-04-27,48,77,43,5,11.7,17.8,54.1,345,48.56728,6538,11.777301927194861,2.5416019934645457,1.6041666666666667
2011,"NASON",N3,R,2011-04-27,49,59,42,7,14.6,17.8,54.1,345,48.56728,6538,9.02416641174671,2.747270914255491,1.2040816326530612
2011,"NASON",N3,V,2011-05-03,71,37,35,36,2,17.8,54.1,357,48.56728,6538,5.659223003976751,1.0986122886681098,0.5211267605633803
2011,"NASON",N3,A,2011-05-03,73,55,50,23,48.3,17.8,54.1,357,48.56728,6538,8.4123585194249,3.8979240810486444,0.7534246575342466
2011,"NASON",N3,C,2011-05-02,69,50,46,23,32.6,17.8,54.1,316,48.56728,6538,7.647598654022636,3.5145260669691587,0.7246376811594203
2011,"NASON",N3,M,2011-05-05,88,82,71,17,50.9,17.8,54.1,403,48.56728,6538,12.542061792597124,3.949318790171843,0.9318181818181818
2011,"NASON",N3,U,2011-05-08,104,91,73,31,5,17.8,54.1,503,48.56728,6538,13.9186295503212,1.791759469228055,0.875
2011,"NASON",N3,G,2011-05-08,100,84,67,33,27.6,17.8,54.1,503,48.56728,6538,12.84796573875803,3.353406717825807,0.84
2012,"NASON",N3,H,2012-04-19,16,14,11,5,30.4,17.1,58,432.5,44.70881,6538,2.141327623126338,3.4468078929142076,0.875
2012,"NASON",N3,I,2012-05-08,71,41,34,37,12.4,17.1,58,1000,44.70881,6538,6.271030896298562,2.5952547069568657,0.5774647887323944
